id_candidate, no_image, no_trial, question, result, ans_candidate, good_ans, reaction_time, time_stamp
leila, 1, 0, Combien y a-t-il de personnes sur cette photo ?  9 / 15, 1, a, a, 3.52, 21.87
leila, 1, 0, Combien y a-t-il de cafetières sur la photo ?  7 / 2, 0, a, p, 1.84, 23.73
leila, 1, 1, Retry, 0, p, 0, 7.49, 31.24
leila, 1, 1, Combien y a-t-il de personnes sur cette photo ?  9 / 15, 1, a, a, 2.13, 36.77
leila, 1, 1, Combien y a-t-il de cafetières sur la photo ?  7 / 2, 0, a, p, 1.42, 38.2
leila, 1, 1, Retry, 0, a, 0, 2.51, 40.79
leila, 2, 1, Combien y a-t-il de personnes sur cette photo ?  4 / 8, 1, a, a, 1.74, 45.18
leila, 2, 1, Retry, 0, a, 0, 3.04, 48.29
leila, 3, 1, Combien y a-t-il de personnes assises sur cette photo ?  2 / 4, 0, p, a, 2.4, 57.33
leila, 3, 1, Combien y a-t-il de personnes cette photo ?  12 / 22, 0, p, a, 1.96, 59.3
leila, 3, 1, Avez-vous vu une personne habillé d'une robe blanche ?, 1, a, a, 9.5, 68.82
leila, 3, 1, Retry, 0, a, 0, 3.69, 72.61
leila, 4, 1, Combien y a-t-il de personnes sur cette photo ?  4 / 3, 1, p, p, 3.24, 79.41
leila, 4, 1, Avez-vous vu une corde à sauter ?, 1, a, a, 2.41, 81.83
leila, 4, 2, Retry, 0, p, 0, 1.9, 83.78
leila, 4, 2, Combien y a-t-il de personnes sur cette photo ?  4 / 3, 0, a, p, 0.93, 88.25
leila, 4, 2, Avez-vous vu une corde à sauter ?, 1, a, a, 5.99, 94.26
leila, 4, 2, Retry, 0, a, 0, 1.07, 95.36
leila, 5, 2, Combien y a-t-il de personnes sur cette photo ?  4 / 3, 1, a, a, 1.63, 99.52
leila, 5, 2, Avez-vous vu une balle sur cette photo ?, 1, a, a, 1.9, 101.44
leila, 5, 2, Avez-vous vu une corde à sauter ?, 1, a, a, 0.91, 102.36
leila, 5, 2, Retry, 0, a, 0, 0.92, 103.3
leila, 6, 2, Toutes les personnes sont-elles habillées en blanc ?, 1, p, p, 3.2, 110.42
leila, 6, 2, Combien y a-t-il de personnes cette photo ?  20 / 40, 1, a, a, 3.14, 113.57
leila, 6, 2, Retry, 0, a, 0, 0.93, 114.54
leila, 7, 2, Combien y a-t-il de personnes diplomées photo ?  39 / 82, 0, p, a, 11.64, 132.66
leila, 7, 2, Avez-vous vu une personne habillé d'une robe blanche ?, 1, p, p, 12.48, 145.15
leila, 7, 3, Retry, 0, p, 0, 0.62, 145.79
leila, 7, 3, Combien y a-t-il de personnes diplomées photo ?  39 / 82, 1, a, a, 0.64, 152.87
leila, 7, 3, Avez-vous vu une personne habillé d'une robe blanche ?, 0, a, p, 0.46, 153.35
leila, 7, 3, Retry, 0, a, 0, 0.69, 154.07
